run,problem_size,mpi_time,computation_time,total_time
26,52,1.122295687,0.586922728,1.709218415
26,116,1.224360494,1.720282766,2.94464326
26,244,6.386223926,7.356888743,13.743112669
26,500,28.941702721,49.045015255,77.986717976
27,20,0.824207067,0.306116082,1.130323149
27,52,1.111316216,0.581692715,1.693008931
27,116,1.522917069,2.347643778,3.870560847
27,244,6.238651678,7.833990455,14.072642133
27,500,31.670380811,56.119631496,87.790012307
28,20,0.789433565,0.351662727,1.141096292
28,52,1.177078586,0.54142336,1.718501946
28,116,1.36683236,2.253139343,3.619971703
28,244,6.772645372,9.004770972,15.777416344
28,500,28.952441665,48.858700929,77.811142594
29,20,0.812592034,0.315758323,1.128350357
29,52,1.166281266,0.567833974,1.73411524
29,116,1.359111586,2.244200217,3.603311803
29,244,6.730095173,8.961800307,15.69189548
29,500,29.726714694,50.824389487,80.551104181
30,20,0.829442932,0.324254856,1.153697788
30,52,1.148496022,0.570748884,1.719244906
30,116,1.449362522,2.358556359,3.807918881
30,244,6.836741779,9.147377628,15.984119407
30,500,29.013881466,49.319525897,78.333407363
31,20,0.834476476,0.339332103,1.173808579
31,52,1.107373633,0.546669457,1.65404309
31,116,1.536449998,2.383209218,3.919659216
31,244,6.33228142,8.404919097,14.737200517
31,500,29.053857717,49.325663283,78.379521
32,20,0.877366098,0.320639364,1.198005462
32,52,1.02586671,0.470025399,1.495892109
32,116,1.314880517,2.156736278,3.471616795
32,244,6.553498944,8.876663287,15.430162231
32,500,26.17957698,41.246665466,67.426242446
33,20,0.884856975,0.36624982,1.251106795
33,52,1.138305295,0.621204903,1.759510198
33,116,1.432806667,2.317155476,3.749962143
33,244,6.43768908,7.893562419,14.331251499
33,500,29.526567395,50.914100919,80.440668314
34,20,0.913708475,0.306655636,1.220364111
34,52,0.962686924,0.532064825,1.494751749
34,116,1.457706049,2.429830966,3.887537015
34,244,6.346955604,8.455621178,14.802576782
34,500,26.160807115,41.184999067,67.345806182
35,20,0.799978963,0.299111655,1.099090618
35,52,0.981861746,0.442339187,1.424200933
35,116,1.313037316,2.170080916,3.483118232
35,244,6.846626897,9.453314348,16.299941245
35,500,29.640705405,50.886257806,80.526963211
36,20,0.697328417,0.30027166,0.997600077
36,52,1.012058292,0.572616657,1.584674949
36,116,1.256481044,1.915731862,3.172212906
36,244,6.321767422,8.3972349,14.719002322
36,500,30.416668728,52.550360655,82.967029383
37,20,0.790630807,0.326706241,1.117337048
37,52,0.932614943,0.478317921,1.410932864
37,116,1.69228004,2.463149428,4.155429468
37,244,6.435713233,7.95140238,14.387115613
37,500,27.045086159,44.257308584,71.302394743
38,20,0.70863021,0.299053095,1.007683305
38,52,1.154544996,0.594441972,1.748986968
38,116,1.298107115,2.091276537,3.389383652
38,244,6.588104785,8.980727626,15.568832411
38,500,28.606232921,47.889779195,76.496012116
39,20,0.568970115,0.240565422,0.809535537
39,52,0.934589533,0.498148101,1.432737634
39,116,1.331711615,2.185770867,3.517482482
39,244,6.305686382,8.250089669,14.555776051
39,500,30.786715577,53.867732292,84.654447869
40,20,0.707917052,0.321267035,1.029184087
40,52,0.975142132,0.41276467,1.387906802
40,116,1.336866752,2.068933641,3.405800393
40,244,6.472962952,7.949823597,14.422786549
40,500,27.633628281,45.661665145,73.295293426
41,20,0.799825983,0.326627772,1.126453755
41,52,1.11510068,0.546463671,1.661564351
41,116,1.38940983,2.226693621,3.616103451
41,244,6.572543676,8.868522724,15.4410664
41,500,30.530138415,53.140832245,83.67097066
42,20,0.830523955,0.333225902,1.163749857
42,52,0.956740393,0.48562635,1.442366743
42,116,1.378062767,2.281159838,3.659222605
42,244,6.636941242,9.015885917,15.652827159
42,500,26.856433968,43.742565229,70.598999197
43,20,0.823782088,0.302809678,1.126591766
43,52,1.12121455,0.548826633,1.670041183
43,116,1.384853105,2.121688873,3.506541978
43,244,6.376268521,8.539460412,14.915728933
43,500,31.317857971,55.253868161,86.571726132
44,20,0.880019316,0.321173999,1.201193315
44,52,1.145625193,0.532605129,1.678230322
44,116,1.314809936,2.115193292,3.430003228
44,244,6.765660277,8.974977666,15.740637943
44,500,27.990112251,46.39647342,74.386585671
45,20,0.891835996,0.32960888,1.221444876
45,52,1.010594702,0.570944732,1.581539434
45,116,1.355164543,2.205973787,3.56113833
45,244,6.452253808,8.62504122,15.077295028
45,500,29.156362455,49.467988668,78.624351123
46,20,0.75771258,0.3211915,1.07890408
46,52,1.047588822,0.5908549,1.638443722
46,116,1.311177551,2.152673281,3.463850832
46,244,6.380598976,8.59200596,14.972604936
46,500,28.94687381,49.079269395,78.026143205
47,20,0.927281501,0.342188026,1.269469527
47,52,0.97668127,0.485101764,1.461783034
47,116,1.444150352,2.347424578,3.79157493
47,244,6.562904173,8.821987502,15.384891675
47,500,28.170006806,46.912809695,75.082816501
48,20,0.764514366,0.329017214,1.09353158
48,52,1.11416534,0.550341671,1.664507011
48,116,1.362768565,2.038722493,3.401491058
48,244,6.505548349,8.62281425,15.128362599
48,500,27.298459466,44.779325487,72.077784953
49,20,0.903877985,0.343162555,1.24704054
49,52,1.154054747,0.567549214,1.721603961
49,116,1.428317439,2.367956648,3.796274087
49,244,6.33624301,8.48676555,14.82300856
49,500,28.124860596,46.693580718,74.818441314
50,20,0.939466362,0.329241281,1.268707643
50,52,1.149812441,0.573245593,1.723058034
50,116,1.293356165,2.091354994,3.384711159
50,244,6.623727836,8.997592475,15.621320311
50,500,28.994991526,49.319817466,78.314808992
51,20,0.879064041,0.320298013,1.199362054
51,52,1.091867069,0.54393702,1.635804089
51,116,1.223913828,1.763382127,2.987295955
51,244,6.378420886,7.424194826,13.802615712
51,500,26.054184573,40.600231708,66.654416281
52,20,0.970163932,0.337296484,1.307460416
52,52,0.953476702,0.527306101,1.480782803
52,116,1.448106841,2.399493755,3.847600596
52,244,6.565318668,8.81102811,15.376346778
52,500,30.391903501,52.619320283,83.011223784
53,20,0.749839362,0.276807344,1.026646706
53,52,1.117513726,0.499483684,1.61699741
53,116,1.215611899,1.839254568,3.054866467
53,244,6.540001662,8.684430503,15.224432165
53,500,29.190616672,50.110612995,79.301229667
54,20,0.737775586,0.320357389,1.058132975
54,52,1.015560343,0.556333795,1.571894138
54,116,1.324149376,2.172348914,3.49649829
54,244,6.529205147,8.713536289,15.242741436
54,500,30.862379296,54.173211369,85.035590665
55,20,0.809460834,0.346477875,1.155938709
55,52,0.996195364,0.547669947,1.543865311
55,116,1.447948169,2.414734029,3.862682198
55,244,6.649565911,8.928534116,15.578100027
55,500,28.946616563,49.314602514,78.261219077
56,20,0.900510968,0.324858722,1.22536969
56,52,1.167519688,0.543252123,1.710771811
56,116,1.624357948,1.982098121,3.606456069
56,244,6.341442465,7.624579852,13.966022317
56,500,30.45091561,52.916912354,83.367827964
57,20,0.737893527,0.286073065,1.023966592
57,52,0.952702771,0.510305862,1.463008633
57,116,1.489519931,2.422694163,3.912214094
57,244,6.35506446,8.374414663,14.729479123
57,500,30.048884083,51.608027981,81.656912064
58,20,0.652923255,0.274342807,0.927266062
58,52,1.019221312,0.529996573,1.549217885
58,116,1.438566387,2.342253522,3.780819909
58,244,6.604346078,8.68692709,15.291273168
58,500,30.212646021,52.25559316,82.468239181
59,20,0.785578676,0.334190263,1.119768939
59,52,1.106123298,0.573518105,1.679641403
59,116,1.477506971,2.420672157,3.898179128
59,244,6.327707413,8.355618669,14.683326082
59,500,28.24409729,46.692358333,74.936455623
60,20,0.831550822,0.33418737,1.165738192
60,52,1.130937036,0.579567777,1.710504813
60,116,1.369142693,2.268740214,3.637882907
60,244,6.796459487,8.998905321,15.795364808
60,500,30.575723139,53.353677096,83.929400235
